word,final_score
@serdarbenli,-0.005
estağfurullah,-0.005
:),-0.005
RT,-0.005
@dentbear:,-0.005
ฉันเข้าใจผิดไปเองว่าสิ่งที่เธอให้มามันเป็นสำหรับคนพิเศษ,-0.005
จึงได้มารู้ว่าที่ผ่านมา,-0.005
ฉันก็แค่คนธรรมดาที่ผ่านเข้ามา,-0.005
ไม่ได้พิเศษอะไร…,-0.005
@giicyrus,-0.005
assistindo,-0.005
o,-0.005
RiR,-0.005
sem,-0.005
"empurrão,",-0.005
fome,-0.005
a,-0.005
afins...,-0.005
:),-0.005
I,-0.005
don't,-0.005
know,-0.005
roommate/dead,-0.005
fish,-0.005
etiquette...,-0.005
she's,-0.005
gone,-0.005
for,-0.005
the,-0.005
weekend...,-0.005
should,-0.005
I,-0.005
replace,-0.005
it?,-0.005
Not,-0.005
lie,-0.005
about,-0.005
it.,-0.005
Just,-0.005
get,-0.005
her,-0.005
a,-0.005
new,-0.005
one.,-0.005
:(,-0.005
RT,-0.005
@LeticiaaHerrera:,-0.005
A,-0.005
hoe,-0.005
will,-0.005
forever,-0.005
be,-0.005
a,-0.005
hoe,-0.005
lesson,-0.005
leaned,-0.005
:),-0.005
Great,2.995
"food,",2.995
service!!,2.995
Thanks,2.995
@ToastLeeds,2.995
:),2.995
RT,-0.005
@CristiSerranoo:,-0.005
@FraanMartineeez,-0.005
jajajajaja,-0.005
soy,-0.005
tope,-0.005
"graciosa,",-0.005
lo,-0.005
"sabes,",-0.005
lo,-0.005
sé,-0.005
:),-0.005
@imwarriorddl,-0.005
seguindo,-0.005
:),-0.005
@JoshCrewsReally,1.995
dude...,1.995
don't,1.995
feed,1.995
his,1.995
ego!,1.995
We,1.995
are,1.995
all,1.995
going,1.995
to,1.995
for,1.995
it,1.995
eventually,1.995
:(,1.995
@Wasgo,1.995
@InessBkn,-0.005
merci,-0.005
:),-0.005
RT,2.995
@Ashton5SOS:,2.995
Happy,2.995
birthday,2.995
Irishmen,2.995
:),2.995
@NiallOfficial,2.995
ya,2.995
pal,2.995
x,2.995
Quiero,-0.005
tener,-0.005
la,-0.005
rodilla,-0.005
bien,-0.005
:(,-0.005
@ToyoEdits,-20.005
tu,-20.005
le,-20.005
fait,-20.005
a,-20.005
70,-20.005
?,-20.005
:),-20.005
et,-20.005
jte,-20.005
file,-20.005
une,-20.005
toyota,-20.005
?,-20.005
Dozen,-40.005
people,-40.005
unfollowed,-40.005
and,-40.005
dozen,-40.005
people,-40.005
keep,-40.005
unfollowed,-40.005
forever,-40.005
and,-40.005
ever,-40.005
:(,-40.005
dont,4.995
be,4.995
"silly,",4.995
know!,4.995
think,4.995
—,4.995
i,4.995
honestly,4.995
dont,4.995
give,4.995
a,4.995
clue,4.995
:(,4.995
a,4.995
private,4.995
or,4.995
summin...,4.995
http://t.co/JyMFFDKJlc,4.995
اليوم,-0.005
كان,-0.005
يوم,-0.005
متعب,-0.005
جدا,-0.005
جدا,-0.005
انا,-0.005
انتهيت,-0.005
وغير,-0.005
كذا,-0.005
المفاجاء,-0.005
الكبره,-0.005
ان,-0.005
يتصل,-0.005
علي,-0.005
مدير,-0.005
عمل,-0.005
ويقولي,-0.005
لازم,-0.005
تجي,-0.005
الساعه,-0.005
٧,-0.005
يوم,-0.005
الاحد,-0.005
:(,-0.005
Não,-0.005
está,-0.005
respondendo,-0.005
.,-0.005
.,-0.005
.,-0.005
.,-0.005
.,-0.005
.,-0.005
.,-0.005
Windows,-0.005
se,-0.005
você,-0.005
soubesse,-0.005
como,-0.005
eu,-0.005
fico,-0.005
puta,-0.005
com,-0.005
"isso,",-0.005
você,-0.005
nunca,-0.005
mais,-0.005
faria,-0.005
isso,-0.005
:),-0.005
مبزهقش,-0.005
من,-0.005
مبروك,-0.005
جالك,-0.005
قلق,-0.005
مسلسل,-0.005
مسخره,-0.005
:),-0.005
@Biskoota_,-0.005
:),-0.005
محشش,-0.005
وصلت,-0.005
فاتورة,-0.005
الماء,-0.005
*700,-0.005
ريال,-0.005
*,-0.005
...,-0.005
اتصل,-0.005
على,-0.005
وزارة,-0.005
المياه,-0.005
قالهم,-0.005
سلامااات,-0.005
